ticker,company_name,source,extraction_method,adapter_field_count,structure_metric_count,missing_count,missing_metric
138A,138A,tdnet,gemini,7,8,1,全店 店舗数
1951,1951,non-tdnet(pdf),regex,4,5,1,NTTグループ 受注額 累計（前年同月比）
2154,オープンアップグループ,tdnet,gemini,4,7,3,建設エンジニア稼働率（前年同月比）
2154,オープンアップグループ,tdnet,gemini,4,7,3,機電・ITエンジニア稼働率（前年同月比）
2154,オープンアップグループ,tdnet,gemini,4,7,3,製造社員在籍数（人）
245A,245A,tdnet,regex,6,7,4,レストラン事業 既存店 売上（前年同月比）
245A,245A,tdnet,regex,6,7,4,レストラン事業 既存店 客単価（前年同月比）
245A,245A,tdnet,regex,6,7,4,レストラン事業 既存店 客数（前年同月比）
245A,245A,tdnet,regex,6,7,4,全店 店舗数
2652,まんだらけ,non-tdnet(pdf),gemini,4,4,1,既存店 売上（円）
2654,2654,tdnet,gemini,3,4,1,介護サービス拠点数
2668,2668,non-tdnet(pdf),regex,5,6,1,全店・EC 客数（前年同月比）
2678,2678,download,regex,3,5,2,ASKUL事業 客単価（前年同月比）
2678,2678,download,regex,3,5,2,ASKUL事業 客数（前年同月比）
2685,2685,tdnet,regex,2,7,5,アダストリア 全店 客単価（前年同月比）
2685,2685,tdnet,regex,2,7,5,アダストリア 全店 客数（前年同月比）
2685,2685,tdnet,regex,2,7,5,アダストリア 全店 店舗数
2685,2685,tdnet,regex,2,7,5,アダストリア 既存店 客単価（前年同月比）
2685,2685,tdnet,regex,2,7,5,アダストリア 既存店 客数（前年同月比）
2702,2702,non-tdnet(pdf),regex,4,5,1,全店 店舗数
2705,2705,tdnet,regex,6,6,3,全店 売上（前年同月比）
2705,2705,tdnet,regex,6,6,3,全店 店舗数
2705,2705,tdnet,regex,6,6,3,既存店 売上（前年同月比）
2722,2722,tdnet,regex,4,5,3,ITソリューション事業 売上（前年同月比）
2722,2722,tdnet,regex,4,5,3,セールスマーケティング事業 売上（前年同月比）
2722,2722,tdnet,regex,4,5,3,ダイレクトマーケティング事業 売上（前年同月比）
2750,2750,tdnet,gemini,2,5,3,コーヒー・飲料事業 売上（前年同月比）
2750,2750,tdnet,gemini,2,5,3,海外事業 売上（前年同月比）
2750,2750,tdnet,gemini,2,5,3,食品事業 売上（前年同月比）
2752,2752,non-tdnet(pdf),regex,5,6,1,まいどおおきに食堂 既存店 客数（前年同月比）
2753,2753,non-tdnet(pdf),regex,6,7,1,全店 店舗数
2764,2764,tdnet,gemini,2,6,4,ブライダル事業 既存店（前年同月比）
2764,2764,tdnet,gemini,2,6,4,ホテル事業 既存店（前年同月比）
2764,2764,tdnet,gemini,2,6,4,レストラン事業 既存店（前年同月比）
2764,2764,tdnet,gemini,2,6,4,全社 売上（百万円）
2778,2778,tdnet,gemini,7,7,1,全社 客単価（前年同月比）
2780,2780,tdnet,gemini,2,4,2,全店 売上（前年同月比）
2780,2780,tdnet,gemini,2,4,2,全店 売上（百万円）
2782,2782,tdnet,gemini,4,5,1,既存店 客単価（前年同月比）
2789,2789,non-tdnet(pdf),regex,9,10,1,まるまつ 既存店 客数（前年同月比）
2792,ハニーズホールディングス,non-tdnet(html_table),gemini,2,7,6,全店 店舗数
2792,ハニーズホールディングス,non-tdnet(html_table),gemini,2,7,6,既存店 客単価（前年同月比）
2792,ハニーズホールディングス,non-tdnet(html_table),gemini,2,7,6,既存店 客数（前年同月比）
2792,ハニーズホールディングス,non-tdnet(html_table),gemini,2,7,6,直営店 売上（前年同月比）
2792,ハニーズホールディングス,non-tdnet(html_table),gemini,2,7,6,直営店 客単価（前年同月比）
2792,ハニーズホールディングス,non-tdnet(html_table),gemini,2,7,6,直営店 客数（前年同月比）
2991,2991,tdnet,regex,5,5,1,不動産売買 取引件数（件）
3032,3032,tdnet,regex,3,5,4,FC店舗 既存店（前年同月比）
3032,3032,tdnet,regex,3,5,4,全店 店舗数
3032,3032,tdnet,regex,3,5,4,既存店 売上（前年同月比）
3032,3032,tdnet,regex,3,5,4,直営店舗 既存店（前年同月比）
3058,3058,tdnet,regex,3,3,1,全店 店舗数
3066,3066,tdnet,regex,3,6,3,全店 店舗数
3066,3066,tdnet,regex,3,6,3,外食事業 全店 売上（前年同月比）
3066,3066,tdnet,regex,3,6,3,外食事業 全店 売上（百万円）
3068,3068,non-tdnet(pdf),regex,4,5,1,全店 店舗数
3082,3082,tdnet,regex,7,7,5,全店 売上（前年同月比）
3082,3082,tdnet,regex,7,7,5,全店 客数（前年同月比）
3082,3082,tdnet,regex,7,7,5,既存店 客単価（前年同月比）
3082,3082,tdnet,regex,7,7,5,既存店 客数（前年同月比）
3082,3082,tdnet,regex,7,7,5,既存店 店舗数
3086,3086,tdnet,regex,1,3,2,大丸心斎橋店 取扱高（前年同月比）
3086,3086,tdnet,regex,1,3,2,百貨店事業 客数（前年同月比）
3087,3087,non-tdnet(pdf),regex,4,8,4,ドトール 全店 売上（前年同月比）
3087,3087,non-tdnet(pdf),regex,4,8,4,ドトール 全店 客数（前年同月比）
3087,3087,non-tdnet(pdf),regex,4,8,4,ドトール 既存店 売上（前年同月比）
3087,3087,non-tdnet(pdf),regex,4,8,4,ドトール 既存店 客数（前年同月比）
3169,3169,non-tdnet(pdf),regex,3,4,1,リフォーム 受注金額（前年同月比）
3174,3174,tdnet,regex,4,5,1,既存店 粗利率（前年同月比）
3179,3179,tdnet,regex,5,5,2,EC 売上（円）
3179,3179,tdnet,regex,5,5,2,EC 売上（前年同月比）
3191,3191,tdnet,regex,1,8,7,単体 全店 売上（前年同月比）
3191,3191,tdnet,regex,1,8,7,単体 全店 客単価（前年同月比）
3191,3191,tdnet,regex,1,8,7,単体 全店 客数（前年同月比）
3191,3191,tdnet,regex,1,8,7,単体 既存店 客単価（前年同月比）
3191,3191,tdnet,regex,1,8,7,単体 既存店 客数（前年同月比）
3191,3191,tdnet,regex,1,8,7,売上 ガソリン・灯油含む 全店（前年同月比）
3191,3191,tdnet,regex,1,8,7,売上 ガソリン・灯油含む 既存店（前年同月比）
3195,3195,tdnet,gemini,2,2,1,連結 売上（前年同月比）
3197,3197,non-tdnet(pdf),regex,3,5,2,全店 売上（前年同月比）
3197,3197,non-tdnet(pdf),regex,3,5,2,全店 店舗数
3199,3199,tdnet,gemini,2,6,4,全店 客単価（前年同月比）
3199,3199,tdnet,gemini,2,6,4,全店 客数（前年同月比）
3199,3199,tdnet,gemini,2,6,4,既存店 客単価（前年同月比）
3199,3199,tdnet,gemini,2,6,4,既存店 客数（前年同月比）
3276,3276,tdnet,regex,2,2,1,運用戸数（戸）
3333,3333,tdnet,gemini,7,7,1,既存店 売上（前年同月比）
3358,3358,tdnet,gemini,5,11,6,ラーメン部門 売上（円）
3358,3358,tdnet,gemini,5,11,6,ラーメン部門 売上（前年同月比）
3358,3358,tdnet,gemini,5,11,6,ラーメン部門 客単価（前年同月比）
3358,3358,tdnet,gemini,5,11,6,全店(Yappa除く) 売上（前年同月比）
3358,3358,tdnet,gemini,5,11,6,全店(Yappa除く) 客単価（前年同月比）
3358,3358,tdnet,gemini,5,11,6,全店(Yappa除く) 客数（前年同月比）
3395,3395,non-tdnet(pdf),gemini,2,3,1,全店 店舗数
3397,3397,download,regex,5,8,3,全店 店舗数
3397,3397,download,regex,5,8,3,既存店 客単価（前年同月比）
3397,3397,download,regex,5,8,3,既存店 客数（前年同月比）
3415,3415,tdnet,gemini,3,5,2,既存店 EC 売上（前年同月比）
3415,3415,tdnet,gemini,3,5,2,既存店 実店舗 売上（前年同月比）
3542,3542,tdnet,gemini,2,4,2,LOWYA旗艦店 売上高（円）
3542,3542,tdnet,gemini,2,4,2,LOWYA旗艦店 売上高（前年同月比）
3547,3547,tdnet,gemini,7,7,7,グループ全店 店舗数
3547,3547,tdnet,gemini,7,7,7,直営全店 売上（前年同月比）
3547,3547,tdnet,gemini,7,7,7,直営全店 客単価（前年同月比）
3547,3547,tdnet,gemini,7,7,7,直営全店 客数（前年同月比）
3547,3547,tdnet,gemini,7,7,7,直営既存店 売上（前年同月比）
3547,3547,tdnet,gemini,7,7,7,直営既存店 客単価（前年同月比）
3547,3547,tdnet,gemini,7,7,7,直営既存店 客数（前年同月比）
3557,3557,tdnet,gemini,6,6,2,既存店 売上（前年同月比）
3557,3557,tdnet,gemini,6,6,2,既存店 客単価（前年同月比）
3608,3608,tdnet,gemini,4,5,1,アパレル店舗数
3663,3663,tdnet,gemini,1,3,2,「CGI Studio」、「UI Conductor」の新規搭載台数の累計（万台）
3663,3663,tdnet,gemini,1,3,2,「CLIP STUDIO PAINT」累計出荷本数（万本）
3690,イルグルム,tdnet,gemini,4,4,1,全社 売上（前年同月比）
3901,3901,tdnet,regex,1,3,2,情報プラットフォーム 契約企業数 中国（社）
3901,3901,tdnet,regex,1,3,2,情報プラットフォーム 契約企業数 日本（社）
3923,3923,tdnet,regex,6,6,1,連結 売上（前年同月比）
3979,3979,tdnet,gemini,1,2,1,MRR（前年同月比）
3983,3983,tdnet,gemini,2,5,3,Reforma PSA契約社数
3983,3983,tdnet,gemini,2,5,3,ZACライセンス契約社数
3983,3983,tdnet,gemini,2,5,3,ZACライセンス契約額（円）
4058,4058,tdnet,gemini,2,4,2,単体 売上（円）
4058,4058,tdnet,gemini,2,4,2,単体 売上（前年同月比）
4177,4177,non-tdnet(pdf),regex,5,9,4,Monthly Active Users　3・4年生（前年同月比）
4177,4177,non-tdnet(pdf),regex,5,9,4,オファー承認数 3・4年生（件）
4177,4177,non-tdnet(pdf),regex,5,9,4,オファー送信数 3・4年生（件）
4177,4177,non-tdnet(pdf),regex,5,9,4,学生登録人数 3・4年生（人）
4193,4193,tdnet,gemini,5,8,3,SMSソリューショングループ 売上高（前年同月比）
4193,4193,tdnet,gemini,5,8,3,U-CARソリューショングループ 売上高（前年同月比）
4193,4193,tdnet,gemini,5,8,3,オートサービス事業 売上高（前年同月比）
4666,4666,non-tdnet(pdf),gemini,2,4,2,タイムズ駐車場 売上（前年同月比）
4666,4666,non-tdnet(pdf),gemini,2,4,2,タイムズ駐車場 売上（百万円）
4680,ラウンドワン,tdnet,regex,6,7,2,国内 売上（前年同月比）
4680,ラウンドワン,tdnet,regex,6,7,2,米国 売上（ドル）
4839,ＷＯＷＯＷ,tdnet,regex,3,3,2,正味加入件数
4839,ＷＯＷＯＷ,tdnet,regex,3,3,2,解約件数
5892,5892,tdnet,regex,3,4,1,全社 売上（百万円）
6036,KeePer技研,tdnet,gemini,4,5,1,既存店 来店台数（前年同月比）
6071,6071,non-tdnet(pdf),regex,1,5,4,IBJ 登録会員数（名）
6071,6071,non-tdnet(pdf),regex,1,5,4,お見合い件数（件）
6071,6071,non-tdnet(pdf),regex,1,5,4,新規入会者数（名）
6071,6071,non-tdnet(pdf),regex,1,5,4,結婚相談所数
