ticker,field,bc_value,source,reason_summary
2722,ITソリューション事業 売上（前年同月比）,101.9,tdnet,BC値101.9あり。月次開示PDFに連結売上高・DM事業・SM事業の3区分のみ記載。ITソリューション事業の個別売上データなし（2026年3月度PDF pdftotext+値検索で未検出）
2750,コーヒー・飲料事業 売上（前年同月比）,88.9,tdnet,BC値88.9あり。月次売上高（速報）PDFに連結合計のみ記載。セグメント別の個別売上データなし（2026年3月度PDF pdftotext+値検索で未検出）
2750,海外事業 売上（前年同月比）,94.7,tdnet,BC値94.7あり。月次速報PDFにセグメント別データなし（値検索で未検出）
2750,食品事業 売上（前年同月比）,80.9,tdnet,BC値80.9あり。月次速報PDFにセグメント別データなし（値検索で未検出）
2752,まいどおおきに食堂 既存店 客数（前年同月比）,96.2,non-tdnet(pdf),PDF内に値あり(BC値96.2と一致する数値を確認)。pdftotext崩れで業態名と数値の紐付け不可。Gemini抽出化で取得可能性あり
2753,全店 店舗数,299,non-tdnet(pdf),PDF末尾に店舗数データあり(BC値299付近: 直営156+FC51+他70+23=300)。pdftotext崩れで合計行欠落。Gemini抽出化で取得可能性あり
2764,ブライダル事業 既存店（前年同月比）,41.1,tdnet,BC値41.1あり。月次売上速報PDFに全社合計・既存店の前年同月比のみ記載。事業セグメント別データなし（2026年3月度PDF pdftotext+値検索で未検出）
2764,ホテル事業 既存店（前年同月比）,31.5,tdnet,BC値31.5あり。月次速報PDFにセグメント別データなし（値検索で未検出）
2764,レストラン事業 既存店（前年同月比）,5.5,tdnet,BC値5.5あり。月次速報PDFにセグメント別データなし（5.5は汎用数値として他箇所に出現するがセグメントデータではない）
2764,全社 売上（百万円）,188.0,tdnet,BC値188.0あり。月次売上速報PDFに絶対額（百万円）の記載なし。前年同月比のみ（値検索で未検出）
2780,全店 売上（前年同月比）,91.9,tdnet,BC値91.9あり。月次開示PDFはブランド・ファッション事業セグメントのみ。全社合計の売上前年同月比の記載なし（2026年3月度PDF pdftotext+値検索で未検出）
