TICKER,COMPANY_NAME,SUB_TYPE,DETAIL
1430,ファーストコーポレーション,D1,"TDnet使用（他カテゴリあり）: 決算短信(173), 新株予約権発行(57), 中期経営計画(40), 第三者割当・公募増資(32), その他（未分類）(13), 株式売出し(6), 配当(4), 配当変更（増減配）(3), 株主優待(2)"
1439,,D1,"TDnet使用（他カテゴリあり）: 上場廃止(117), 決算短信(67)"
2026,,D1,"TDnet使用（他カテゴリあり）: 決算短信(1356), その他（未分類）(57)"
2406,,D1,"TDnet使用（他カテゴリあり）: 決算短信(89), その他（未分類）(12), 役員異動（代表クラス）(8), 業績修正(5), 自己株式取得(5), 大型受注・契約(3), 監査人異動(2), 自己株式消却(1)"
2503,キリンホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(254), その他（未分類）(56), 提携・協業(13), 中期経営計画(10), 業績修正(10), 特別利益(3)"
2651,,D1,"TDnet使用（他カテゴリあり）: 決算説明資料(801), 決算短信(304), TOB・MBO(291), 合併・組織再編(79), その他（未分類）(43), 大型受注・契約(13)"
2659,(株)サンエー,D1,"TDnet使用（他カテゴリあり）: 決算短信(182), 主要株主異動(6), 提携・協業(5), 配当(3)"
2675,,D1,"TDnet使用（他カテゴリあり）: 決算短信(258), その他（未分類）(147), 提携・協業(8), 業績予想(4), 業績修正(3)"
2678,アスクル,c,master登録済み（独自IR開示）
2687,(株)シー・ヴイ・エス・ベイエリア,D1,"TDnet使用（他カテゴリあり）: 決算短信(349), 株式分割・併合(16)"
2726,(株)パルグループホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(133), 株式分割・併合(19), 業績修正(7), 合併・組織再編(6), その他（未分類）(5), 配当変更（増減配）(4), 役員異動（代表クラス）(4), 配当(3)"
2751,(株)テンポスホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(267), その他（未分類）(131), 新株予約権発行(4), 配当(3), 特別利益(2)"
2753,(株)あみやき亭,D1,"TDnet使用（他カテゴリあり）: 決算短信(170), 配当(3)"
2769,(株)ヴィレッジヴァンガードコーポレーション,D1,"TDnet使用（他カテゴリあり）: 決算短信(257), 第三者割当・公募増資(108), 業績修正(35), 新株予約権発行(19), 株主優待(7), 大型受注・契約(5), その他（未分類）(2)"
2791,大黒天物産,D1,"TDnet使用（他カテゴリあり）: 決算短信(192), 配当変更（増減配）(3)"
2914,ＪＴ,D1,"TDnet使用（他カテゴリあり）: 決算短信(72), 訴訟・法的(8)"
3030,(株)ハブ,D1,"TDnet使用（他カテゴリあり）: 決算短信(163), 月次開示(115), 決算説明資料(21), 中期経営計画(17), 立会外分売(9), 株主優待(4), 主要株主異動(4), 配当(2), その他（未分類）(2)"
3045,(株)カワサキ,D1,"TDnet使用（他カテゴリあり）: 決算短信(153), その他（未分類）(9), 配当変更（増減配）(2)"
3048,(株)ビックカメラ,D1,"TDnet使用（他カテゴリあり）: 決算短信(253), 役員異動（代表クラス）(9), 自己株式取得(8), 業績修正(5), その他（未分類）(4), 合併・組織再編(4), 配当変更（増減配）(3), 特別損失(1)"
3057,,D1,"TDnet使用（他カテゴリあり）: TOB・MBO(196), 決算短信(193), 業績修正(4), 役員異動（代表クラス）(2)"
3085,,D1,"TDnet使用（他カテゴリあり）: 決算短信(219), 月次開示(98), 合併・組織再編(25), 株主優待(3), 役員異動（代表クラス）(2)"
3087,(株)ドトール・日レスホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(252), 自己株式取得(6), 株主優待(4), 配当変更（増減配）(4), その他（未分類）(2)"
3094,(株)スーパーバリュー,D1,"TDnet使用（他カテゴリあり）: 決算短信(184), 配当(4)"
3098,,D1,"TDnet使用（他カテゴリあり）: 決算短信(241), その他（未分類）(33), 業績修正(8), 配当変更（増減配）(3)"
3136,,D1,"TDnet使用（他カテゴリあり）: 決算短信(238), その他（未分類）(17)"
3141,,D1,"TDnet使用（他カテゴリあり）: 決算短信(272), 決算説明資料(137), その他（未分類）(33), 新株予約権発行(16), 合併・組織再編(9), 提携・協業(6), 配当(3), 株主優待(2), 特別損失(2)"
3148,(株)クリエイトＳＤホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(211), その他（未分類）(6), 業績予想(5), 業績修正(4), 配当(4)"
3194,,D1,"TDnet使用（他カテゴリあり）: 決算短信(218), 提携・協業(63), 子会社化・買収(14), 業績修正(14), その他（未分類）(12), 主要株主異動(10), 自己株式取得(3)"
3266,(株)ファンドクリエーショングループ,D1,"TDnet使用（他カテゴリあり）: 決算短信(272), その他（未分類）(77), 事業・子会社売却(8), 業績修正(6), 業績予想(3)"
3275,,D1,"TDnet使用（他カテゴリあり）: 決算短信(280), 決算説明資料(29), 新株予約権発行(14), 自己株式取得(10), 中期経営計画(7), 立会外分売(5), 業績修正(4), 配当(3), 上場廃止(2)"
3349,(株)コスモス薬品,D1,"TDnet使用（他カテゴリあり）: 決算短信(186), 配当(3), 株主優待(3), その他（未分類）(2)"
3543,(株)コメダホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(122), その他（未分類）(116), 株主優待(3)"
3544,サツドラホールディングス,D1,"TDnet使用（他カテゴリあり）: 上場廃止(41), 決算短信(33), 自己株式取得(6), 株主優待(5), 業績予想(5), 中期経営計画(4), その他（未分類）(3)"
3548,(株)バロックジャパンリミテッド,D1,"TDnet使用（他カテゴリあり）: その他（未分類）(218), 決算短信(29), 配当変更（増減配）(5), 主要株主異動(5), 業績修正(3), 株主優待(2)"
3960,,D1,"TDnet使用（他カテゴリあり）: その他（未分類）(191), 決算短信(23), 第三者割当・公募増資(9), 主要株主異動(6)"
3995,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
3999,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
4014,(株)カラダノート,D1,TDnet使用（他カテゴリあり）: 大型受注・契約(12)
4199,ワンダープラネット,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
5580,(株)プロディライト,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
5891,(株)魁力屋,D1,"TDnet使用（他カテゴリあり）: 決算短信(45), 配当(3)"
6028,,D1,TDnet使用（他カテゴリあり）: 第三者割当・公募増資(120)
6073,(株)アサンテ,c,master登録済み（独自IR開示）
6083,ＥＲＩホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(213), 決算説明資料(111), 訴訟・法的(8), 配当(6), 子会社化・買収(6), 業績修正(6), 中期経営計画(5)"
6175,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
6181,タメニー,D1,"TDnet使用（他カテゴリあり）: 決算短信(295), その他（未分類）(30), 新株予約権発行(18), 立会外分売(6), 業績予想(5), 株式分割・併合(4), 株主優待(3)"
6191,(株)エアトリ,D1,"TDnet使用（他カテゴリあり）: 決算短信(220), 決算説明資料(182), その他（未分類）(181), 第三者割当・公募増資(70), 新株予約権発行(28), 提携・協業(11), 株主優待(9), 業績修正(7), 株式分割・併合(5), 大型受注・契約(5)"
6301,コマツ,D1,TDnet使用（他カテゴリあり）: 役員異動（代表クラス）(4)
6522,(株)アスタリスク,D1,TDnet使用（他カテゴリあり）: 決算短信(49)
6547,(株)グリーンズ,D1,"TDnet使用（他カテゴリあり）: 決算短信(33), 自己株式取得(5)"
6556,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
6580,(株)ライトアップ,D1,TDnet使用（他カテゴリあり）: 決算短信(34)
6752,パナソニック ホールディングス,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
7086,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
7177,ＧＭＯフィナンシャルホールディングス,c,master登録済み（独自IR開示）
7261,マツダ,D1,"TDnet使用（他カテゴリあり）: 決算短信(297), その他（未分類）(56), 新株予約権発行(28), 業績修正(7)"
7267,ホンダ,D1,"TDnet使用（他カテゴリあり）: 決算短信(408), 役員異動（代表クラス）(19), その他（未分類）(15), 業績修正(6), 業績予想(5), 合併・組織再編(4), 自己株式取得(3)"
7330,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
7338,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
7448,,D1,"TDnet使用（他カテゴリあり）: 決算短信(167), 業績予想(52), その他（未分類）(8), 業績修正(8), 大型受注・契約(6), 特別損失(4), 特別利益(3)"
7512,イオン北海道,D1,"TDnet使用（他カテゴリあり）: 決算短信(190), 決算説明資料(105), 新株予約権発行(21), 合併・組織再編(2), 特別損失(2)"
7513,(株)コジマ,D1,"TDnet使用（他カテゴリあり）: 決算短信(181), 業績修正(8)"
7514,(株)ヒマラヤ,D1,"TDnet使用（他カテゴリあり）: 決算短信(194), 月次開示(62), 業績修正(19), その他（未分類）(9), 業績予想(6), 役員異動（代表クラス）(3)"
7577,,D1,"TDnet使用（他カテゴリあり）: 決算短信(203), 第三者割当・公募増資(78), 提携・協業(23), 業績修正(16), その他（未分類）(10), 特別損失(3)"
7601,(株)ポプラ,D1,"TDnet使用（他カテゴリあり）: 決算短信(329), 決算説明資料(73), 合併・組織再編(46), 業績修正(15), 大型受注・契約(13), その他（未分類）(2), 配当(2)"
7605,,D1,"TDnet使用（他カテゴリあり）: 決算短信(193), 月次開示(66), 第三者割当・公募増資(30), その他（未分類）(11), 株式売出し(5), 株主優待(3), 配当(3)"
7618,,D1,"TDnet使用（他カテゴリあり）: 決算短信(276), 月次開示(138), 業績修正(18), 新株予約権発行(17), 決算説明資料(17), その他（未分類）(15), 株式分割・併合(6), 業績予想(3), 配当(3)"
7630,(株)壱番屋,D1,"TDnet使用（他カテゴリあり）: 決算短信(264), 子会社化・買収(27), 不祥事・社内調査(10), TOB・MBO(8), 株式分割・併合(6), 子会社設立(6), 配当(3), その他（未分類）(2), 配当変更（増減配）(2)"
7816,,D1,"TDnet使用（他カテゴリあり）: 決算短信(162), 第三者割当・公募増資(31), その他（未分類）(16), 自己株式取得(10), 業績修正(8), 株主優待(6), 子会社化・買収(4), 子会社設立(3), 配当変更（増減配）(3), 役員異動（代表クラス）(3)"
8000,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
8008,４℃ホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(1874), 不祥事・社内調査(152), 買収防衛策(115), 新株予約権発行(37), その他（未分類）(24), 自己株式取得(6), 株主優待(6)"
8028,,D1,"TDnet使用（他カテゴリあり）: 決算短信(507), 決算説明資料(389), その他（未分類）(291), 合併・組織再編(111), 業績修正(32), 事業・子会社売却(13), TOB・MBO(12), 子会社化・買収(4), 役員異動（代表クラス）(4), 配当(3)"
8160,(株)木曽路,D1,"TDnet使用（他カテゴリあり）: 決算短信(212), 特別損失(9), 業績修正(5), 特別利益(3), 役員異動（代表クラス）(2)"
8167,(株)リテールパートナーズ,D1,"TDnet使用（他カテゴリあり）: 決算短信(296), 合併・組織再編(105), その他（未分類）(72), 特別損失(2)"
8168,,D1,"TDnet使用（他カテゴリあり）: 決算短信(227), 業績修正(18), 提携・協業(15), 中期経営計画(5), 買収防衛策(2)"
8182,,D1,"TDnet使用（他カテゴリあり）: 決算短信(213), その他（未分類）(66), 決算説明資料(39)"
8184,,D1,"TDnet使用（他カテゴリあり）: 決算短信(170), 自己株式取得(6), 配当(3)"
8185,(株)チヨダ,D1,"TDnet使用（他カテゴリあり）: 決算短信(258), 自己株式取得(17), 新株予約権発行(17), 配当変更（増減配）(3), その他（未分類）(2)"
8194,(株)ライフコーポレーション,D1,"TDnet使用（他カテゴリあり）: 決算短信(218), 業績予想(7)"
8217,(株)オークワ,D1,"TDnet使用（他カテゴリあり）: 決算短信(191), 業績修正(5), 特別損失(2), その他（未分類）(1)"
8218,(株)コメリ,D1,"TDnet使用（他カテゴリあり）: 決算説明資料(41), その他（未分類）(35), 中期経営計画(4), 配当(3)"
8255,アクシアル リテイリング,c,master登録済み（独自IR開示）
8260,(株)井筒屋,D1,"TDnet使用（他カテゴリあり）: 決算短信(164), その他（未分類）(23), 株式分割・併合(21), 中期経営計画(5), 業績予想(4), 業績修正(3)"
8273,(株)イズミ,D1,"TDnet使用（他カテゴリあり）: 決算短信(308), 決算説明資料(72), 業績修正(8), 業績予想(5), 特別損失(4), その他（未分類）(4), 配当(3)"
8276,(株)平和堂,D1,"TDnet使用（他カテゴリあり）: 決算短信(227), 提携・協業(5), 自己株式取得(4), 配当(3)"
8279,,D1,"TDnet使用（他カテゴリあり）: 決算短信(206), 第三者割当・公募増資(53), 子会社化・買収(34), その他（未分類）(5), 配当(4), 業績修正(3)"
8287,,D1,"TDnet使用（他カテゴリあり）: 決算短信(240), 新株予約権発行(21), その他（未分類）(4), 業績修正(3), 特別損失(3)"
8732,,D1,"TDnet使用（他カテゴリあり）: 決算短信(319), 決算説明資料(185), 月次開示(105), その他（未分類）(39), 第三者割当・公募増資(24), 提携・協業(12), 大型受注・契約(9), 主要株主異動(3), 上場廃止(2)"
8740,,D1,"TDnet使用（他カテゴリあり）: 決算短信(169), その他（未分類）(25), 特別利益(12), 特別損失(8)"
9062,,D1,"TDnet使用（他カテゴリあり）: 決算短信(390), その他（未分類）(20), 中期経営計画(16), 自己株式取得(14), 業績修正(8), 買収防衛策(4), 配当(3)"
9262,(株)シルバーライフ,D1,TDnet使用（他カテゴリあり）: 業績修正(3)
9263,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
9266,,D2,BQ・GCSともに未登録（TDnet非使用候補・type c 要確認）
9275,,D1,TDnet使用（他カテゴリあり）: 月次開示(2)
9375,,D1,"TDnet使用（他カテゴリあり）: 決算短信(381), 中期経営計画(9), 業績修正(9), 役員異動（代表クラス）(4)"
9412,(株)スカパーＪＳＡＴホールディングス,D1,TDnet使用（他カテゴリあり）: 決算短信(203)
9522,,D1,"TDnet使用（他カテゴリあり）: 株式分割・併合(184), 決算短信(56), 特別利益(4), その他（未分類）(3), 業績予想(3), 自己株式消却(2)"
9601,松竹,D1,"TDnet使用（他カテゴリあり）: 決算短信(265), 業績修正(19), 配当(3), 事業・子会社売却(3), 配当変更（増減配）(2), その他（未分類）(1)"
9602,東宝,D1,"TDnet使用（他カテゴリあり）: 決算短信(370), 決算説明資料(228), その他（未分類）(41), 自己株式取得(41), 業績修正(13), 合併・組織再編(10), 配当(4), 子会社化・買収(3)"
9744,(株)メイテックグループホールディングス,D1,"TDnet使用（他カテゴリあり）: 決算短信(237), 自己株式取得(18), 配当(6), 自己株式消却(2)"
9835,(株)ジュンテンドー,D1,"TDnet使用（他カテゴリあり）: 決算短信(164), 株式分割・併合(28), 立会外分売(4), 業績修正(3)"
