ACTIVIST_NAME,ALIAS
光通信,UH Partners２
光通信,UH Partners２号
光通信,UH Partners３
光通信,UH Partners３号
光通信,株式会社エスアイエル
光通信,エスアイエル
3D,3D Investment Partners Pte. Ltd.
3D,スリーディー・インベストメント・パートナーズ・ピーティーイー・リミテッド
3D,3D OPPORTUNITY MASTER FUND
3D,スリーディー・オポチュニティー・マスター・ファンド
3D,GOF T Limited
3D,ジーオーエフ・ティー・リミテッド
3D,GOF LIMITED
3D,ジーオーエフ・リミテッド
3D,3D VENEZUELA MASTER FUND
3D,スリーディー・ベネズエラ・マスター・ファンド
ひびき,Hibiki Asset Management Pte. Ltd.
ひびき,ひびきアセットマネジメント・ピーティーイー・リミテッド
ひびき,HIBIKI JAPAN FUND
ひびき,ヒビキ・ジャパン・ファンド
ひびき,HIBIKI GLOBAL FUND
ひびき,ヒビキ・グローバル・ファンド
ひびき,Yuya Shimizu
ひびき,清水 雄也
シンフォニー,SFP Value Realization Master Fund Ltd.
シンフォニー,SFPバリュー・リアライゼーション・マスター・ファンド・リミテッド
シンフォニー,Symphony GP Ltd.
シンフォニー,シンフォニー・ジーピー・リミテッド
シンフォニー,David Lawrence Gibson
シンフォニー,デイビッド・ローレンス・ギブソン
シルバーケイプ,Silvercape Fund Pte. Ltd.
シルバーケイプ,シルバーケイプ・ファンド・ピーティーイー・リミテッド
シルバーケイプ,Silvercape Master Fund
シルバーケイプ,シルバーケイプ・マスター・ファンド
シルバーケイプ,Lim Kian Onn
シルバーケイプ,リム・キアン・オン
オアシス,Oasis Management Company Ltd.
オアシス,オアシス・マネジメント・カンパニー・リミテッド
オアシス,Oasis Investments II Master Fund Ltd.
オアシス,オアシス・インベストメンツ・ツー・マスター・ファンド・リミテッド
オアシス,Oasis Investments Master Fund Ltd.
オアシス,オアシス・インベストメンツ・マスター・ファンド・リミテッド
オアシス,Seth H. Fischer
オアシス,セス・エイチ・フィッシャー
LIM,LIM Advisors Limited
LIM,リム・アドバイザーズ・リミテッド
LIM,LIM Asia Special Situations Master Fund Limited
LIM,リム・エイシア・スペシャル・シチュエーションズ・マスター・ファンド・リミテッド
LIM,LIM Asia Multi-Strategy Fund Inc.
LIM,リム・エイシア・マルチ－ストラテジー・ファンド・インク
LIM,LIM Asia Alternative Fund
LIM,リム・エイシア・オルタナティブ・ファンド
LIM,George W. Long
LIM,ジョージ・ダブリュー・ロン
MYアルファ・マネジメント,MY Alpha Management HK Limited
MYアルファ・マネジメント,ＭＹアルファ・マネジメント・エイチケー・リミテッド
MYアルファ・マネジメント,MY. Alpha Value Offshore Fund
MYアルファ・マネジメント,ＭＹ．アルファ・バリュー・オフショア・ファンド
MYアルファ・マネジメント,"Mak Yuen, Allen"
MYアルファ・マネジメント,マック・ユエン・アレン
アセンダー・キャピタル,ASCENDER CAPITAL LIMITED
アセンダー・キャピタル,アセンダー・キャピタル・リミテッド
アセンダー・キャピタル,ASCENDER JAPAN PARTNERS MASTER FUND
アセンダー・キャピタル,アセンダー・ジャパン・パートナーズ・マスター・ファンド
MCD,Myriad Asset Management Limited
MCD,ＭＹＲＩＡＤ　ＡＳＳＥＴ　ＭＡＮＡＧＥＭＥＮＴ　ＬＩＭＩＴＥＤ
MCD,Myriad Opportunities Master Fund Limited
MCD,Ｍｙｒｉａｄ　Ｏｐｐｏｒｔｕｎｉｔｉｅｓ　Ｍａｓｔｅｒ　Ｆｕｎｄ　Ｌｉｍｉｔｅｄ
MCD,Carl Huttenlocher
MCD,カール　ハッテンロッカー
MCD,Ｃａｒｌ　Ｈｕｔｔｅｎｌｏｃｈｅｒ
エイシオン・パートナーズ,Acion Partners Limited
エイシオン・パートナーズ,エイシオン・パートナーズ・リミテッド
エイシオン・パートナーズ,ACION PARTNERS MASTER FUND
エイシオン・パートナーズ,エイシオン・パートナーズ・マスター・ファンド
エイシオン・パートナーズ,Park Sungho
エイシオン・パートナーズ,朴 成浩
Old Peak Group,"Old Peak Master Fund, Ltd."
Old Peak Group,オールド・ピーク・マスター・ファンド・リミテッド
Old Peak Group,"Old Peak Asia Master Fund, Ltd."
Old Peak Group,オールド・ピーク・アジア・マスター・ファンド・リミテッド
Old Peak Group,Dustin Perry Moskovitz
Old Peak Group,ダスティン・ペリー・モスコヴィッツ
Old Peak Group,Cari Tuna
Old Peak Group,カリ・ツナ
Keyrock Capital,Keyrock Capital Management Ltd
Keyrock Capital,キーロック・キャピタル・マネジメント・リミテッド
Keyrock Capital,Keyrock Capital Master Fund
Keyrock Capital,キーロック・キャピタル・マスター・ファンド
Keyrock Capital,Keyrock Japan Value Fund
Keyrock Capital,キーロック・ジャパン・バリュー・ファンド
Keyrock Capital,Timothy F. Pascale
Keyrock Capital,ティモシー・エフ・パスカル
グランサム,GMO Trust
グランサム,GMOトラスト
グランサム,"GMO Investment Management, LP"
グランサム,GMOインベストメント・マネジメント・エルピー
グランサム,"GMO Investments, LLC"
グランサム,GMOインベストメンツ・エルエルシー
グランサム,Jeremy Grantham
グランサム,ジェレミー・グランサム
グランサム,Grantham Foundation for the Protection of the Environment
グランサム,グランサム・ファンデーション・フォー・ザ・プロテクション・オブ・ジ・エンバイロンメント
グランサム,GMO UK Limited
グランサム,GMOユーケーリミテッド
ブランデス,"Brandes Investment Partners, L.P."
ブランデス,ブランデス・インベストメント・パートナーズ・エル・ピー
ブランデス,Charles H. Brandes
ブランデス,チャールズ・エイチ・ブランデス
ブランデス,Brandes Investment Trust
ブランデス,ブランデス・インベストメント・トラスト
ブランデス,Brandes Institutional Funds
ブランデス,ブランデス・インスティテューショナル・ファンズ
ブランデス,Brandes Investment Funds plc
ブランデス,ブランデス・インベストメント・ファンズ・ピーエルシー
ブランデス,Brandes Global Funds plc
ブランデス,ブランデス・グローバル・ファンズ・ピーエルシー
ブランデス,BI Funds
ブランデス,ビーアイ・ファンズ
ブランデス,Bridge Builder Trust
ブランデス,ブリッジ・ビルダー・トラスト
ブランデス,Allspring (Lux) Worldwide Fund
ブランデス,オールスプリング（ラックス）・ワールドワイド・ファンド
ブランデス,Brandes International Small Cap Equity Fund
ブランデス,ブランデス・インターナショナル・スモール・キャップ・エクイティ・ファンド
ブランデス,Brandes International Equity Fund
ブランデス,ブランデス・インターナショナル・エクイティ・ファンド
ブランデス,Brandes Global Equity Fund
ブランデス,ブランデス・グローバル・エクイティ・ファンド
ブランデス,Brandes Emerging Markets Value Fund
ブランデス,ブランデス・エマージング・マーケッツ・バリュー・ファンド
VIS,"ValueAct Capital Management, L.P."
VIS,バリューアクト・キャピタル・マネジメント・エル・ピー
VIS,"ValueAct Capital Management, LLC"
VIS,バリューアクト・キャピタル・マネジメント・エルエルシー
VIS,"VA Partners I, LLC"
VIS,ヴイエー・パートナーズ・アイ・エルエルシー
VIS,"ValueAct Capital Master Fund, L.P."
VIS,バリューアクト・キャピタル・マスター・ファンド・エル・ピー
VIS,"ValueAct Co-Invest Master Fund, L.P."
VIS,バリューアクト・コ・インベスト・マスター・ファンド・エル・ピー
VIS,"ValueAct Co-Invest International, L.P."
VIS,バリューアクト・コ・インベスト・インターナショナル・エル・ピー
VIS,"The ValueAct Horizon Master Fund, L.P."
VIS,ザ・バリューアクト・ホライゾン・マスター・ファンド・エル・ピー
VIS,"ValueAct Capital Partners III, L.P."
VIS,バリューアクト・キャピタル・パートナーズ・スリー・エル・ピー
VIS,"ValueAct Capital Partners III-A, L.P."
VIS,バリューアクト・キャピタル・パートナーズ・スリー・エー・エル・ピー
VIS,"The VAF, L.P."
VIS,ザ・ブイエーエフ・エル・ピー
VIS,"VAE, L.P."
VIS,ブイエーイー・エル・ピー
VIS,"VAP III-A, L.P."
VIS,ブイエーピー・スリー・エー・エル・ピー
VIS,"VAP III Co-Invest, L.P."
VIS,ブイエーピー・スリー・コ・インベスト・エル・ピー
VIS,Jeffrey W. Ubben
VIS,ジェフリー・ダブリュー・アッベン
VIS,G. Mason Morfit
VIS,ジー・メイソン・モーフィット
VIS,Robert Hale
VIS,ロバート・ヘール
バリューアクト,"ValueAct Capital Management, L.P."
バリューアクト,バリューアクト・キャピタル・マネジメント・エル・ピー
バリューアクト,"ValueAct Capital Management, LLC"
バリューアクト,バリューアクト・キャピタル・マネジメント・エル・エル・シー
バリューアクト,"ValueAct Capital Master Fund, L.P."
バリューアクト,バリューアクト・キャピタル・マスター・ファンド・エル・ピー
バリューアクト,"ValueAct Spring Fund, L.P."
バリューアクト,バリューアクト・スプリング・ファンド・エル・ピー
バリューアクト,"VA Partners I, LLC"
バリューアクト,ヴィエー・パートナーズ・ワン・エル・エル・シー
バリューアクト,"VA Spring I, LLC"
バリューアクト,ヴィエー・スプリング・ワン・エル・エル・シー
バリューアクト,Jeffrey W. Ubben
バリューアクト,ジェフリー・ダブリュー・アベン
バリューアクト,G. Mason Morfit
バリューアクト,ジー・メイソン・モーフィット
バリューアクト,Robert Hale Skelly
バリューアクト,ロバート・ヘイル・スケリー
ダルトン,Dalton Investments LLC
ダルトン,ダルトン・インベストメンツ・エルエルシー
ダルトン,Dalton Asia LP
ダルトン,ダルトン・アジア・エルピー
ダルトン,"Dalton Pan-Asia Master Fund, Ltd."
ダルトン,ダルトン・パン-アジア・マスター・ファンド・リミテッド
ダルトン,Dalton Greater China and Pan-Asia UCITS Fund
ダルトン,ダルトン・グレーター・チャイナ・アンド・パン-アジア・ユーシッツ・ファンド
ダルトン,"Dalton Capital, LLP"
ダルトン,ダルトン・キャピタル・エルエルピー
ダルトン,DALCAP LLC
ダルトン,ダルキャップ・エルエルシー
ダルトン,Dalton Capital (Japan) 株式会社
ダルトン,James B. Rosenwald III
ダルトン,ジェームズ・ビー・ローゼンワルド・ザ・サード
NAVF,Nippon Active Value Fund Plc
NAVF,ニッポン・アクティブ・バリュー・ファンド・ピーエルシー
NAVF,Asset Value Investors Limited
NAVF,アセット・バリュー・インベスターズ・リミテッド
NAVF,Rising Sun Management Limited
NAVF,ライジング・サン・マネジメント・リミテッド
NAVF,AVI Global Trust Plc
NAVF,エーヴィーアイ・グローバル・トラスト・ピーエルシー
NAVF,Michael 1925 LLC
NAVF,マイケル・1925・エルエルシー
AVI,Asset Value Investors Limited
AVI,アセット・バリュー・インベスターズ・リミテッド
AVI,AVI Global Trust plc
AVI,エーブイアイ・グローバル・トラスト・ピーエルシー
AVI,AVI Japan Opportunity Trust PLC
AVI,エーブイアイ・ジャパン・オポチュニティ・トラスト・ピーエルシー
AVI,Joe Bauernfreund
AVI,ジョー・バウアンフロイント
シルチェスター,Silchester International Investors LLP
シルチェスター,シルチェスター・インターナショナル・インベスターズ・エルエルピー
シルチェスター,The Silchester Partnership
シルチェスター,ザ・シルチェスター・パートナーシップ
シルチェスター,Silchester Partners Limited
シルチェスター,シルチェスター・パートナーズ・リミテッド
シルチェスター,"Silchester International Investors, Inc."
シルチェスター,シルチェスター・インターナショナル・インベスターズ・インク
ゼナーアセット,Zennor Japan Fund
ゼナーアセット,ゼナー・ジャパン・ファンド
ゼナーアセット,Zennor Japan Master Fund Limited
ゼナーアセット,ゼナー・ジャパン・マスター・ファンド・リミテッド
ゼナーアセット,James Salter
ゼナーアセット,ジェームズ・ソルター
ゼナーアセット,Tim Macready
ゼナーアセット,ティム・マクリーディー
ヴァレックス・パートナーズ,VP Value-up Fund Ⅰ 投資事業有限責任組合
ヴァレックス・パートナーズ,株式会社VP ホールディングス
