REGION,NAME,CATEGORY
シンガポール,3D,アクティビスト
シンガポール,アクシウム,アクティビスト
シンガポール,ひびき,アクティビスト
シンガポール,シンフォニー,アクティビスト
シンガポール,シルバーケイプ,アクティビスト
香港,オアシス,アクティビスト
香港,LIM,アクティビスト
香港,MYアルファ・マネジメント,アクティビスト
香港,アセンダー・キャピタル,アクティビスト
香港,MCD,アクティビスト
香港,エイシオン・パートナーズ,アクティビスト
香港,Old Peak Group,アクティビスト
香港,Keyrock Capital,アクティビスト
米国,MIRI,アクティビスト
米国,グランサム,アクティビスト
米国,ブランデス,アクティビスト
米国,VIS,アクティビスト
米国,バリューアクト,アクティビスト
米国,ダルトン,アクティビスト
英国,NAVF,アクティビスト
英国,AVI,アクティビスト
英国,シルチェスター,アクティビスト
英国,ゼナーアセット,アクティビスト
国内,ヴァレックス・パートナーズ,アクティビスト
国内,ありあけキャピタル,アクティビスト
国内,Be Brave,アクティビスト
国内,UGSアセットマネジメント,アクティビスト
国内,いちごアセットマネジメント,アクティビスト
国内,牧寛之（メルコグループ）,アクティビスト
国内,福島幹九郎（DOE5パーセント）,アクティビスト
国内,シティインデックスイレブンス,アクティビスト
国内,南青山不動産,アクティビスト
国内,エスグラント,アクティビスト
国内,湯沢株式会社,アクティビスト
国内,HI2,アクティビスト
シンガポール,エフィッシモ,アクティビスト
国内,ストラテジックキャピタル,アクティビスト
国内,光通信,アクティビスト
国内,Yamauchi-No.10 Family Office,アクティビスト
