pair_id,leader_code,leader_name,follower_code,follower_name,pair_type,relationship,dependency_pct,via_code,via_name,source
D_3286_1407,3286,トラストホールディングス,1407,株式会社ウエストホールディングス,direct,株式会社ウエストホールディングスの売上16.5%がトラストホールディングスに依存,16.5,,,edinet_yuho_2025
D_5019_1663,5019,出光興産,1663,Ｋ＆Ｏエナジーグループ株式会社,direct,Ｋ＆Ｏエナジーグループ株式会社の売上10.8%が出光興産に依存,10.8,,,edinet_yuho_2025
D_1925_1783,1925,大和ハウス工業,1783,株式会社ｆａｎｔａｓｉｓｔａ,direct,株式会社ｆａｎｔａｓｉｓｔａの売上52.0%が大和ハウス工業に依存,52.0,,,edinet_yuho_2025
D_1333_2286,1333,マルハニチロ,2286,林兼産業株式会社,direct,林兼産業株式会社の売上11.5%がマルハニチロに依存,11.5,,,edinet_yuho_2025
D_441A_2303,441A,ＮＥ,2303,株式会社ドーン,direct,株式会社ドーンの売上14.0%がＮＥに依存,14.0,,,edinet_yuho_2025
D_4755_2315,4755,楽天グループ,2315,株式会社ＣＡＩＣＡ ＤＩＧＩＴＡＬ,direct,株式会社ＣＡＩＣＡ ＤＩＧＩＴＡＬの売上16.2%が楽天グループに依存,16.2,,,edinet_yuho_2025
D_4378_2337,4378,ＣＩＮＣ,2337,いちご株式会社,direct,いちご株式会社の売上31.1%がＣＩＮＣに依存,31.1,,,edinet_yuho_2025
D_8929_2337,8929,青山財産ネットワークス,2337,いちご株式会社,direct,いちご株式会社の売上13.4%が青山財産ネットワークスに依存,13.4,,,edinet_yuho_2025
D_3539_2337,3539,ＪＭホールディングス,2337,いちご株式会社,direct,いちご株式会社の売上28.9%がＪＭホールディングスに依存,28.9,,,edinet_yuho_2025
D_JNJ_2370,JNJ,Johnson & Johnson,2370,株式会社メディネット,direct,株式会社メディネットの売上12.6%がJohnson & Johnsonに依存,12.6,,,edinet_yuho_2025
D_8267_3123,8267,イオン,3123,サイボー株式会社,direct,サイボー株式会社の売上30.2%がイオンに依存,30.2,,,edinet_yuho_2025
D_300A_3131,300A,ＭＩＣ,3131,シンデン・ハイテックス株式会社,direct,シンデン・ハイテックス株式会社の売上27.9%がＭＩＣに依存,27.9,,,edinet_yuho_2025
D_600584.SS_3131,600584.SS,JCET Group,3131,シンデン・ハイテックス株式会社,direct,シンデン・ハイテックス株式会社の売上11.7%がJCET Groupに依存,11.7,,,edinet_yuho_2025
D_7209_3204,7209,林テレンプ,3204,株式会社トーア紡コーポレーション,direct,株式会社トーア紡コーポレーションの売上10.6%が林テレンプに依存,10.6,,,edinet_yuho_2025
D_4951_3252,4951,エステー,3252,地主株式会社,direct,地主株式会社の売上33.5%がエステーに依存,33.5,,,edinet_yuho_2025
D_8424_3252,8424,芙蓉総合リース,3252,地主株式会社,direct,地主株式会社の売上24.0%が芙蓉総合リースに依存,24.0,,,edinet_yuho_2025
D_9246_3267,9246,プロジェクトホールディングス,3267,株式会社フィル・カンパニー,direct,株式会社フィル・カンパニーの売上19.5%がプロジェクトホールディングスに依存,19.5,,,edinet_yuho_2025
D_7269_3306,7269,スズキ,3306,日本製麻株式会社,direct,日本製麻株式会社の売上11.3%がスズキに依存,11.3,,,edinet_yuho_2025
D_8591_3393,8591,オリックス,3393,スターティアホールディングス株式会社,direct,スターティアホールディングス株式会社の売上10.1%がオリックスに依存,10.1,,,edinet_yuho_2025
D_AMZN_3416,AMZN,Amazon,3416,ピクスタ株式会社,direct,ピクスタ株式会社の売上11.5%がAmazonに依存,11.5,,,edinet_yuho_2025
D_7201_3434,7201,日産自動車,3434,株式会社アルファ,direct,株式会社アルファの売上34.3%が日産自動車に依存,34.3,,,edinet_yuho_2025
D_8053_3436,8053,住友商事,3436,株式会社ＳＵＭＣＯ,direct,株式会社ＳＵＭＣＯの売上24.8%が住友商事に依存,24.8,,,edinet_yuho_2025
D_5401_3437,5401,日本製鉄,3437,特殊電極株式会社,direct,特殊電極株式会社の売上17.4%が日本製鉄に依存,17.4,,,edinet_yuho_2025
D_1802_3440,1802,大林組,3440,日創グループ株式会社,direct,日創グループ株式会社の売上13.8%が大林組に依存,13.8,,,edinet_yuho_2025
D_441A_3441,441A,ＮＥ,3441,株式会社　山王,direct,株式会社　山王の売上20.7%がＮＥに依存,20.7,,,edinet_yuho_2025
D_6785_3441,6785,鈴木,3441,株式会社　山王,direct,株式会社　山王の売上10.9%が鈴木に依存,10.9,,,edinet_yuho_2025
D_3264_3490,3264,アスコット,3490,株式会社アズ企画設計,direct,株式会社アズ企画設計の売上15.2%がアスコットに依存,15.2,,,edinet_yuho_2025
D_7209_3553,7209,林テレンプ,3553,共和レザー株式会社,direct,共和レザー株式会社の売上30.5%が林テレンプに依存,30.5,,,edinet_yuho_2025
D_4378_3624,4378,ＣＩＮＣ,3624,アクセルマーク株式会社,direct,アクセルマーク株式会社の売上11.7%がＣＩＮＣに依存,11.7,,,edinet_yuho_2025
D_AMZN_373A,AMZN,Amazon,373A,株式会社リップス,direct,株式会社リップスの売上23.5%がAmazonに依存,23.5,,,edinet_yuho_2025
D_2168_3798,2168,パソナグループ,3798,ＵＬＳグループ株式会社,direct,ＵＬＳグループ株式会社の売上11.1%がパソナグループに依存,11.1,,,edinet_yuho_2025
D_9434_3810,9434,ソフトバンク,3810,サイバーステップ株式会社,direct,サイバーステップ株式会社の売上15.6%がソフトバンクに依存,15.6,,,edinet_yuho_2025
