name,parent_hint
ソニーセミコンダクタソリューションズ,ソニーグループ
ソネット,ソニーグループ
ソニーネットワークコミュニケーションズ,ソニーグループ
ソフトバンクグループインターナショナル,ソフトバンクグループ
ソフトバンクグループジャパン,ソフトバンクグループ
産業革新機構,政府系ファンド
INCJ,政府系ファンド
革新機構,政府系ファンド
NTTテクノクロス,NTTグループ
エヌティティテクノクロス,NTTグループ
エヌティティソフトウェア,NTTグループ
NTTソフトウェア,NTTグループ
エヌティティコムウェア,NTTグループ
NTTコムウェア,NTTグループ
エヌティティアドバンステクノロジ,NTTグループ
NTTアドバンステクノロジ,NTTグループ
エヌティティアド,NTTグループ
NTTアド,NTTグループ
コニカミノルタビジネスソリューションズ,コニカミノルタ
コニカミノルタジャパン,コニカミノルタ
日本サムスン,サムスングループ
マイクロンメモリジャパン,マイクロン
マイクロンジャパン,マイクロン
MICROSOFTCORPORATION,マイクロソフト
ジャパンマリンユナイテッド,IHI・JFEジョイントベンチャー
野村プロパティーズ,野村グループ
野村ファシリティーズ,野村グループ
セガグループ,セガサミー
エイベックスミュージックパブリッシング,エイベックス
TOPPANエッジ,TOPPANホールディングス
オムロンヘルスケア,オムロン
日立ハイテクノロジーズ,日立グループ
GMOインターネット,GMOインターネットグループ
三菱重工サーマルシステムズ,三菱重工
ボッシュ,ロバートボッシュ
アイシン精機,アイシン
コカコーラボトラーズジャパン,コカコーラ
三井物産ケミカル,三井物産
ヤンマー建機,ヤンマー
伊藤忠メタルズ,伊藤忠商事
王子エフテックス,王子ホールディングス
NAVERCorporation,NAVER
BASFジャパン,BASF
ジェイエフイー商事,JFEスチール
JFE商事,JFEスチール
生命科学インスティテュート,三井物産
ロジスティード,日立物流(KKR傘下)
丸和運輸機関,AZ-COM丸和ホールディングス
セブンイレブンジャパン,セブンアイ
セブンイレブン,セブンアイ
株式会社セブンイレブンジャパン,セブンアイ
丸善ジュンク堂書店,丸善CHIホールディングス
ENEOSイノベーションパートナーズ,ENEOSホールディングス
ENEOSグローブ,ENEOSホールディングス
ENEOSウイング,ENEOSホールディングス
ENEOSネクスト,ENEOSホールディングス
双日テックイノベーション,双日
パーソルクロステクノロジー,パーソル
京セラ丸善システムインテグレーション,京セラ
日経BP,日本経済新聞
讀賣テレビ放送,読売新聞グループ
日立物流,日立グループ
図書館流通センター,図書館流通センター
アグリビジネス投資育成,農林中央金庫
コカコーラボトラーズジャパンホールディングス,コカコーラ
新日鐵住金,日本製鉄
日鉄住金物産,日本製鉄
NTTデータ,NTTグループ(旧社名→現NTTデータグループ9613)
九電工,九電工(1959上場)
デジタル・アドバタイジング・コンソーシアム,博報堂DYホールディングス(上場廃止)
北海道電力ネットワーク,北海道電力
アイテック阪急阪神,阪急阪神ホールディングス
旭化成ホームズ,旭化成
テレビ朝日,テレビ朝日ホールディングス(TV-AHD完全子会社)
ヤマダデンキ,ヤマダホールディングス
エヌエックスシー・ジャパン,NXC(NEXON親会社)
SOMPO Light Vortex,SOMPOホールディングス
丸紅シーフーズ,丸紅
LINE Digital Frontier,LINEヤフー(NAVER系)
エア・ウォーター防災,エア・ウォーター
日新火災海上保険,MS&ADインシュアランスグループ
三菱電機モビリティ,三菱電機
阪神電気鉄道,阪急阪神ホールディングス(完全子会社)
近鉄保険サービス,近鉄グループホールディングス
伊藤忠・フジ・パートナーズ,伊藤忠商事・フジテレビJV
日本コカ・コーラ,コカコーラカンパニー
ケーエルエー・テンコール,KLAコーポレーション(NASDAQ上場)
フィデリティ投信,フィデリティ(外資系機関投資家)
GMOインタ－ネット,GMOインターネットグループ(全角ハイフン表記)
セブン‐イレブン・ジャパン,セブン&アイ・ホールディングス
日本コムシス,コムシスホールディングス(1942完全子会社)
