stock_name,name_normalized
Geolocation　Technology,GEOLOCATIONTECHNOLOGY
NTTドコモ,NTTドコモ
RIZAPグループ株式会社,RIZAPグループ
あい　ホールディングス,あいホールディングス
あいちフィナンシャルグループ,あいちフィナンシャルグループ
あおぞら銀行,あおぞら銀行
あかつき本社,あかつき本社
あさかわシステムズ,あさかわシステムズ
あさくま,あさくま
あさひ,あさひ
あじかん,あじかん
あすか製薬,あすか製薬
あすか製薬ホールディングス,あすか製薬ホールディングス
あみやき亭,あみやき亭
あらた,あらた
ありがとうサービス,ありがとうサービス
あんしん保証,あんしん保証
いい生活,いい生活
いすゞ自動車,いすゞ自動車
いちご,いちご
いちごオフィスリート投資法人,いちごオフィスリート投資法人
いちごグリーンインフラ投資法人,いちごグリーンインフラ投資法人
いちごホテルリート投資法人,いちごホテルリート投資法人
いちよし証券,いちよし証券
いつも,いつも
いであ,いであ
いなげや,いなげや
いよぎんホールディングス,いよぎんホールディングス
うかい,うかい
うるる,うるる
おきなわフィナンシャルグループ,おきなわフィナンシャルグループ
かっこ,かっこ
かどや製油,かどや製油
かわでん,かわでん
かんなん丸,かんなん丸
かんぽ生命保険,かんぽ生命保険
きずなホールディングス,きずなホールディングス
きちりホールディングス,きちりホールディングス
きもと,きもと
きょくとう,きょくとう
きんえい,きんえい
きんでん,きんでん
くすりの窓口,くすりの窓口
くふうカンパニー （2021年9月30日付で（株）くふう中間持株会社に商号変更予定）,くふうカンパニー（2021年9月30日付で（株）くふう中間持株会社に商号変更予定）
くふうカンパニーホールディングス,くふうカンパニーホールディングス
くら寿司,くら寿司
くろがね工作所,くろがね工作所
ぐるなび,ぐるなび
こころネット（株）,こころネット
さいか屋,さいか屋
さが美グループホールディングス,さが美グループホールディングス
さくらさくプラス,さくらさくプラス
さくらインターネット,さくらインターネット
さくらケーシーエス,さくらケーシーエス
しずおかフィナンシャルグループ,しずおかフィナンシャルグループ
しまむら,しまむら
じげん,じげん
じもとホールディングス,じもとホールディングス
すかいらーくホールディングス,すかいらーくホールディングス
すららネット,すららネット
たけびし,たけびし
だいこう証券ビジネス,だいこう証券ビジネス
ちゅうぎんフィナンシャルグループ,ちゅうぎんフィナンシャルグループ
ながの東急百貨店,ながの東急百貨店
なとり,なとり
のむら産業,のむら産業
はごろもフーズ,はごろもフーズ
はせがわ,はせがわ
はてな,はてな
はなホールディングス,はなホールディングス
はるやまホールディングス,はるやまホールディングス
ひかりホールディングス,ひかりホールディングス
ひとまいる,ひとまいる
ひらまつ,ひらまつ
ひろぎんホールディングス,ひろぎんホールディングス
ぴあ,ぴあ
ふくおかフィナンシャルグループ,ふくおかフィナンシャルグループ
ぷらっとホーム,ぷらっとホーム
ほくほくフィナンシャルグループ,ほくほくフィナンシャルグループ
ほぼ日,ほぼ日
ぽすとめいとホールディングス,ぽすとめいとホールディングス
まぐまぐ,まぐまぐ
まんだらけ,まんだらけ
みずほフィナンシャルグループ,みずほフィナンシャルグループ
みずほリース,みずほリース
みちのく銀行,みちのく銀行
みなと銀行,みなと銀行
みのや,みのや
みらいワークス,みらいワークス
みんなのウェディング,みんなのウェディング
めぶきフィナンシャルグループ,めぶきフィナンシャルグループ
やまねメディカル,やまねメディカル
やまびこ,やまびこ
やまみ,やまみ
やまや,やまや
ゆうちょ銀行,ゆうちょ銀行
よみうりランド,よみうりランド
りそなホールディングス,りそなホールディングス
りらいあコミュニケーションズ,りらいあコミュニケーションズ
わかもと製薬,わかもと製薬
わらべや日洋ホールディングス,わらべや日洋ホールディングス
アイエックス・ナレッジ,アイエックス・ナレッジ
アイエヌホールディングス,アイエヌホールディングス
アイエーグループ,アイエーグループ
アイカ工業,アイカ工業
アイガー,アイガー
アイキューブドシステムズ,アイキューブドシステムズ
アイコム,アイコム
アイサンテクノロジー,アイサンテクノロジー
アイザワ証券グループ,アイザワ証券グループ
アイシン,アイシン
