TICKER,COMPANY_NAME,GAP_TYPE,DETAIL
1379,ホクト,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 株主優待, その他（未分類））"
1417,(株)ミライト・ワン,B,"BQ有・月次カテゴリなし（決算短信, 株主優待, 決算説明資料）"
1419,タマホーム,B,"BQ有・月次カテゴリなし（大型受注・契約, 受注・契約）"
1420,サンヨーホームズ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 主要株主異動）"
1430,ファーストコーポレーション,D,GCS月次PDFなし（ダウンロード不備）
1439,,D,GCS月次PDFなし（ダウンロード不備）
1721,コムシスホールディングス,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 自己株式取得）"
1840,(株)土屋ホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 第三者割当・公募増資）"
1873,(株)日本ハウスホールディングス,B,BQ有・月次カテゴリなし（決算短信）
1878,大東建託,B,"BQ有・月次カテゴリなし（決算短信, 自己株式取得, TOB・MBO, 業績修正, 株式分割・併合, 第三者割当・公募増資）"
1911,住友林業,B,"BQ有・月次カテゴリなし（TOB・MBO, 決算短信, 子会社化・買収, その他（未分類）, 配当変更, 配当変更（増減配））"
1925,大和ハウス工業,B,"BQ有・月次カテゴリなし（決算短信, 不祥事・社内調査, 子会社化・買収, 自己株式取得, 株主優待）"
1928,積水ハウス,B,BQ有・月次カテゴリなし（自己株式消却）
1951,エクシオグループ,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, 自己株式取得, 業績修正, 自己株式消却）"
2026,,D,GCS月次PDFなし（ダウンロード不備）
2163,(株)アルトナー,B,"BQ有・月次カテゴリなし（決算短信, 中期経営計画, 配当）"
2267,(株)ヤクルト本社,B,"BQ有・月次カテゴリなし（決算短信, 自己株式取得, その他（未分類））"
2294,(株)柿安本店,B,BQ有・月次カテゴリなし（その他（未分類））
2317,(株)システナ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
2406,,D,GCS月次PDFなし（ダウンロード不備）
2429,(株)ワールドホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, その他（未分類）, 配当）"
2433,(株)博報堂ＤＹホールディングス,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 自己株式取得, 役員異動（代表クラス））"
2501,サッポロホールディングス,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
2502,アサヒグループホールディングス,B,"BQ有・月次カテゴリなし（決算短信, 決算説明資料, その他（未分類））"
2503,キリンホールディングス,D,GCS月次PDFなし（ダウンロード不備）
2587,サントリー食品インターナショナル,B,"BQ有・月次カテゴリなし（その他（未分類）, 決算説明資料, 決算短信, 配当）"
2590,ダイドーグループホールディングス,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類）, 買収防衛策, 決算説明資料, 業績修正）"
2593,(株)伊藤園,B,"BQ有・月次カテゴリなし（決算説明資料, 決算短信, 合併・組織再編, 業績修正, 子会社設立）"
2651,,D,GCS月次PDFなし（ダウンロード不備）
2652,(株)まんだらけ,B,"BQ有・月次カテゴリなし（決算短信, その他（未分類））"
2653,イオン九州,B,BQ有・月次カテゴリなし（子会社化・買収）
