ticker,name,market_cap_oku,score,verdict,factors,pos_factors,neg_factors,disc_time,cur_per_type,cumulative_op,standalone_op,forecast_op,obs_guidance_vs_consensus,obs_momentum_5d,obs_momentum_20d,obs_beta_20d
8058,三菱商事,181541.0,-1.0,SLIGHT_SELL,翌期予想非開示,,翌期予想非開示,14:00,FY,,,,,0.0352,-0.1051,0.6598902215517348
8860,フジ住宅,289.0,0.0,NEUTRAL,,,,14:00,FY,8294000000.0,1524000000.0,7200000000.0,,-0.0243,-0.0255,0.5716191220444774
5832,ちゅうぎんフィナンシャルグループ,4968.0,3.0,STRONG_BUY,翌期予想非開示 増配+14% コンセ乖離+12.3%,増配+14% コンセ乖離+12.3%,翌期予想非開示,14:00,FY,,,,,0.0605,-0.0182,1.6656549615714875
273A,ＳＢＩ　サウジアラビア株式上場投信,,0.0,NEUTRAL,,,,10:00,FY,17705000000.0,17705000000.0,,,,,
8031,三井物産,163923.0,-4.0,SELL,翌期予想非開示 コンセ乖離-41.7%,,翌期予想非開示 コンセ乖離-41.7%,12:00,FY,114045000000.0,114045000000.0,,,0.0367,-0.0798,0.9291124792368096
7774,ジャパン・ティッシュエンジニアリング,230.0,-5.5,SELL,進捗↓-100% 翌期↓-82% 売り長 コンセ乖離-13.2%,売り長,進捗↓-100% 翌期↓-82% コンセ乖離-13.2%,10:30,FY,549000000.0,1112000000.0,-550000000.0,-0.9187,-0.1025,-0.1174,0.6027157564959976
8473,ＳＢＩホールディングス,19249.0,-4.0,SELL,翌期予想非開示 コンセ乖離-92.7%,,翌期予想非開示 コンセ乖離-92.7%,10:10,FY,17705000000.0,17705000000.0,,,0.0264,0.035,1.4233128650090965
5386,鶴弥,,0.0,NEUTRAL,,,,10:40,FY,146000000.0,146000000.0,,,,,
8001,伊藤忠商事,135603.0,-4.0,SELL,翌期予想非開示 コンセ乖離-53.5%,,翌期予想非開示 コンセ乖離-53.5%,13:00,FY,701888000000.0,175450000000.0,,,0.0108,-0.0539,0.986591344694044
8053,住友商事,68971.0,-1.0,SLIGHT_SELL,翌期予想非開示 自社株買い コンセ乖離-22.4% 株式分割,自社株買い 株式分割,翌期予想非開示 コンセ乖離-22.4%,13:00,FY,36812000000.0,36812000000.0,,,-0.0034,-0.0616,1.3393865503554476
4772,ＳＭ　ＥＮＴＥＲＴＡＩＮＭＥＮＴ　ＪＡＰＡＮ,103.0,2.0,BUY,進捗↑95% QoQ+552%,進捗↑95% QoQ+552%,,13:30,1Q,235000000.0,235000000.0,247000000.0,,-0.022,0.0,0.2369014945691028
2296,伊藤ハム米久ホールディングス,2985.0,0.0,NEUTRAL,,,,12:00,FY,28456000000.0,6664000000.0,27500000000.0,,-0.0056,-0.0973,0.3382771888509753
2768,双日,12305.0,-4.0,SELL,翌期予想非開示 コンセ乖離-42.4%,,翌期予想非開示 コンセ乖離-42.4%,12:15,FY,15224000000.0,15224000000.0,,,0.0117,-0.0701,1.122395719720212
8002,丸紅,97255.0,-2.0,SELL,翌期予想非開示 自社株買い コンセ乖離-55.8%,自社株買い,翌期予想非開示 コンセ乖離-55.8%,11:00,FY,256670000000.0,66067000000.0,,,0.0298,0.0152,1.301084179602633
8303,ＳＢＩ新生銀行,14955.0,3.0,STRONG_BUY,翌期予想非開示 増配+24% コンセ乖離+11.2%,増配+24% コンセ乖離+11.2%,翌期予想非開示,10:00,FY,,,,,0.1141,0.0352,0.701177580348667
3191,ジョイフル本田,1243.0,0.5,NEUTRAL,売り長,売り長,,15:00,3Q,7401000000.0,2135000000.0,8800000000.0,,-0.0253,-0.0303,0.2905931250839246
6467,ニチダイ,31.0,-6.0,SELL,進捗↓-204% 翌期↓-98% 大幅減配-33%,,進捗↓-204% 翌期↓-98% 大幅減配-33%,15:00,FY,408000000.0,717000000.0,-200000000.0,,-0.0114,0.0,0.1285356632274273
