ticker,company_name,skip,category,monthly_page_url,adapter_note,updated_at,css_selector,link_text_pattern,link_href_pattern,type,format
1379,ホクト,True,excluded,https://www.hokto-kinoko.co.jp/corporate/ir/gyouseki/,物理削除済み・論理削除扱い（BC突合保持）,2026-04-11,,,,,v2
1417,ミライト・ワン,False,active,https://www.mirait-one.com/ir/monthly/,月次ページ発見（サブページ）: https://www.mirait-one.com/,2026-04-12,,,\.pdf,scrape_links,v2
1419,タマホーム,False,active,http://www.tamahome.jp/ir/monthly/,月次PDFリンク2件検出 best=http://www.tamahome.jp/qkeioebqx4/wp-content/uploads/2026/03/20260327.pdf,2026-04-21,,\d{4},/qkeioebqx4/wp\-content/uploads.*\.(pdf),scrape_links,v2
1420,サンヨーホームズ,False,active,https://shikiho.toyokeizai.net/news/0/935429,月次PDFリンク1件検出 best=https://www.rentracks.co.jp/ir/library/pdf/21th/2026_03_03_monthly.pdf,2026-04-21,,,.*\.(pdf|xlsx|xls),scrape_links,v2
1430,ファーストコーポレーション,False,active,https://www.1st-corp.com/index.html,自動生成。ページ: https://www.1st-corp.com/index.html / リンク3件検出,2026-03-16,,,/xcontents/AS80280.*\.(pdf),scrape_links,v2
1439,,True,excluded,,物理削除済み・論理削除扱い（BC突合保持）,2026-04-11,,,,,v2
1721,コムシスホールディングス,False,active,http://www.comsys-hd.co.jp/ir/library/monthly/,eIRシステム（動的ロード）。URL: http://www.comsys-hd.co.jp/ir/library/monthly/,2026-03-16T19:13:46+09:00,,,,eir_api,v2
1840,土屋ホールディングス,False,active,http://www.tsuchiya.co.jp/ir/order_report/,http://www.tsuchiya.co.jp/ir/order_report/ にWordPressベースで月次受注速報PDFリンクあり (例: wp-content/uploads/...pdf),2026-03-16,,受注速報|月次,\.pdf,scrape_links,v2
1873,日本ハウスホールディングス,False,active,https://shikiho.toyokeizai.net/news/0/888582,月次PDFリンク1件検出 best=https://www.rentracks.co.jp/ir/library/pdf/21th/2026_03_03_monthly.pdf,2026-04-21,,,.*\.(pdf|xlsx|xls),scrape_links,v2
1878,大東建託,False,active,https://www.kentaku.co.jp/corporate/ir/getuji.html,月次PDFリンク2件検出 best=https://www.kentaku.co.jp/ir/library/monthly-report/__icsFiles/afieldfile/2026/04/02/202603.pdf,2026-04-21,,,\.pdf|\.xls,scrape_links,v2
1911,住友林業,False,active,https://sfc.jp/information/ir/zaimu,月次ページ発見（サブページ）: https://sfc.jp/information/ir/zaimu/order/,2026-04-12,,,.*\.(pdf|xlsx|xls),scrape_links,v2
1925,大和ハウス工業,False,active,http://www.daiwahouse.co.jp/ir/juchu/?page=from_header,月次受注実績ページ,2026-03-16,,,,scrape_links,v2
1928,積水ハウス,False,active,https://www.sekisuihouse.co.jp/company/financial/order/orders_2025/,HTML表に月次データ検出。table_selector要調整,2026-04-21,,,/company/financial/library/ir_document/2024/2024_kessan/FY2024_Engagement\.pdf,html_table,v2
1951,エクシオグループ,False,active,https://www.exeo.co.jp/ir/ir.html,https://www.exeo.co.jp/ir/ir.html に月次受注状況PDF直リンクあり。毎月翌月8営業日に公表,2026-03-16,,月次受注,\.pdf,scrape_links,v2
2124,,True,excluded,,物理削除済み・論理削除扱い（BC突合保持）,2026-04-11,,,,,v2
2163,アルトナー,False,active,https://www.artner.co.jp/ir/financial/monthly/,月次PDFリンク1件検出 best=https://www.artner.co.jp/asset-ir/download_file/JP_2163.xlsx,2026-04-21,,,.*\.(pdf|xlsx|xls),scrape_links,v2
2267,ヤクルト本社,False,active,https://www.yakult.co.jp/company/ir/library/milkproducts.html,自動生成。ページ: https://www.yakult.co.jp/company/ir/library/milkproducts.html / リンク64件検出,2026-03-16,,,/company/ir.*\.(pdf),scrape_links,v2
2294,柿安本店,False,active,https://www.kakiyasuhonten.co.jp/ir/financial/month.php,eIRシステム（動的ロード）。URL: https://www.kakiyasuhonten.co.jp/ir/financial/month.php,2026-03-16T19:13:46+09:00,,,,eir_api,v2
2317,システナ,True,excluded,https://www.systena.co.jp/ir/,物理削除済み・論理削除扱い（BC突合保持）,2026-04-11,,,,,v2
2429,ワールドホールディングス,False,active,https://corp.world.co.jp/ir/,eIRシステム検出。コード=3612,2026-04-21,,,.*\.(pdf),eir_api,v2
2433,博報堂ＤＹホールディングス,False,excluded,https://www.hakuhodody-holdings.co.jp/ir/,eIRシステム（動的ロード）。URL: https://www.hakuhodody-holdings.co.jp/ir/,2026-03-16T19:13:46+09:00,,,,eir_api,v2
2501,サッポロホールディングス,False,active,https://www.sapporoholdings.jp/ir/,自動生成。ページ: https://www.sapporoholdings.jp/ir/ / リンク11件検出,2026-03-16,,,/ir.*\.(pdf),scrape_links,v2
2502,アサヒグループホールディングス,False,active,http://www.asahigroup-holdings.com/ir/financial_data/monthly_data/,自動生成。ページ: http://www.asahigroup-holdings.com/ir/financial_data/monthly_data/ / リンク81件検出,2026-03-16,,,.*\.(pdf),scrape_links,v2
2503,キリンホールディングス,False,active,https://www.kirinholdings.com/jp/investors/finance/databook/reports/,ダウンロードリンクなし(no_links)。URL: https://support.google.com/websearch,2026-03-16,,月次,.*\.(pdf|xlsx|xls),scrape_links,v2
2587,サントリー食品インターナショナル,False,active,https://www.suntory.co.jp/softdrink/ir/library/monthly.html,URL自体が月次ページだがコンテンツ未検出（JS遅延/SPA疑い）。要手動確認,2026-04-12,,,.*\.(pdf|xlsx|xls),html_table,v2
2590,ダイドーグループホールディングス,False,active,https://www.dydo-ghd.co.jp/ir/data/monthly_report/,eIRシステム（動的ロード）。URL: https://www.dydo-ghd.co.jp/ir/data/monthly_report/,2026-03-16T19:13:46+09:00,,,,eir_api,v2
2593,伊藤園,False,active,http://www.itoen.co.jp/ir/library/monthly_sales_backnumber/,eIRシステム（動的ロード）。URL: http://www.itoen.co.jp/ir/library/monthly_sales_backnumber/,2026-03-16T19:13:46+09:00,,,,eir_api,v2
2651,ローソン,False,active,https://www.lawson.co.jp/company/ir/financial/monthly/index.html,月次PDFリンク1件検出 best=https://www.lawson.co.jp/company/ir/financial/monthly/2026/__icsFiles/afieldfile/2026/04/10/2026_03.pdf,2026-04-21,,,,scrape_links,v2
2652,まんだらけ,False,active,https://www.mandarake.co.jp/dir/company/ir/,自動生成。ページ: https://www.mandarake.co.jp/dir/company/ir/ / リンク369件検出,2026-03-16,,,/dir/company/ir/up.*\.(pdf),scrape_links,v2
2653,イオン九州,False,active,https://www.aeon-kyushu.info/ir/,eIRシステム（動的ロード）。URL: https://www.aeon-kyushu.info/ir/,2026-03-16T19:13:46+09:00,,,,eir_api,v2
2659,サンエー,False,active,http://www.san-a.co.jp/company/ir/gaiyou/monthly_data.html,月次PDFリンク2件検出 best=http://www.san-a.co.jp/common/uploads/2025/12/20251212.pdf,2026-04-21,,,.*\.(pdf|xlsx|xls),scrape_links,v2
2664,カワチ薬品,False,active,https://www.cawachi.co.jp/ir/monthly/,HTML表に月次データ検出。table_selector要調整,2026-04-21,,,.*\.(pdf|xlsx|xls),html_table,v2
2668,タビオ,False,active,https://tabio.com/jp/corporate/ir/monthly/,自動生成。ページ: https://tabio.com/jp/corporate/ir/monthly/ / リンク192件検出,2026-03-16,,\d{4},/jp/corporate/ir/wp\-content/uploads/sites/2.*\.(pdf),scrape_links,v2
2669,カネ美食品,False,active,http://www.kanemi-foods.co.jp/ir/monthly.html,ダウンロードリンクなし(no_links)。URL: http://www.kanemi-foods.co.jp/ir/monthly.html,2026-03-16,,月次,.*\.(pdf|xlsx|xls),scrape_links,v2
2670,エービーシー・マート,False,active,https://www.abc-mart.co.jp/ir/getsujijoho.html,自動生成。ページ: https://www.abc-mart.co.jp/ir/getsujijoho.html / リンク53件検出,2026-03-16,,,.*\.(pdf|xlsx|xls),scrape_links,v2
2674,ハードオフコーポレーション,False,active,http://www.hardoff.co.jp/ir/library/sales/,ハードオフ月次。fl=False（PDF-lhpミス修正）,2026-03-24,,,.*\.(pdf|xlsx|xls),scrape_links,v2
2678,アスクル,True,error,https://pdf.irpocket.com/C2678/hvir/NJ5w/UOYs.pdf,"error: Page.goto: Download is starting
Call log:
  - navigating to ""https://pdf.irpocket.com/C2678/hvir/NJ5w/UOYs.pdf"", waiting until ""load""
",2026-04-21,,,irpocket\.com/2678/chart/data\.(pdf|xlsx),,v2
2686,ジーフット,True,excluded,https://ir.g-foot.co.jp/ja/finance/monthly.html,自動生成。ページ: http://www.g-foot.co.jp/ir/monthly/ / リンク192件検出,2026-03-16,,月次|売上,/ja/finance/monthly.*\.(pdf),scrape_links,v2
2687,(株)シー・ヴイ・エス・ベイエリア,True,excluded,http://www.cvs-bayarea.co.jp/ir/monthly/,物理削除済み・論理削除扱い（BC突合保持）,2026-04-11,,,,,v2
2695,くら寿司,False,active,https://www.kurasushi.co.jp/company/ir/library/monthly_reports.html,自動生成。ページ: https://www.kurasushi.co.jp/company/ir/library/monthly_reports.html / リンク8件検出,2026-03-16,,月次,.*\.(pdf|xlsx|xls),scrape_links,v2
2698,キャンドゥ,False,active,http://www.cando-web.co.jp/ir/monthly_report/,HTML表に月次データ検出。table_selector要調整,2026-04-21,,,.*\.(pdf),html_table,v2
2702,日本マクドナルドホールディングス,False,active,https://www.mcd-holdings.co.jp/ir/,月次PDFリンク1件検出 best=https://ircms.irstreet.com/contents/data_file.php?template=2129&brand=74&data=484082&filename=pdf_file.pdf,2026-04-21,,月次,.*\.(pdf|xlsx|xls),scrape_links,v2
2726,パルグループホールディングス,True,error,https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251222/20251222523689.pdf,"error: Page.goto: Download is starting
Call log:
  - navigating to ""https://finance-frontend-pc-dist.west.edge.storage-yahoo.jp/disclosure/20251222/20251222523689.pdf"", waiting until ""load""
",2026-04-21,,月次,,,v2
2730,エディオン,False,active,http://www.edion.co.jp/ir/library/monthly/,月次PDFリンク5件検出 best=http://www.edion.co.jp/system/files/ir-news/pdf/ja/2025-11/EDION%20211125_Coverage%E3%83%BBReport_Storm%20CORPORATE%20RESEARCH_0.pdf,2026-04-21,,"\d{4}年\s*\d{1,2}月度\s*月次開示情報",/system/files/ir-library/pdf/ja/\d{4}-\d{2}/.*monthly_sales_report\.pdf,scrape_links,v2
2742,ハローズ,False,active,http://www.halows.com/ir/finance_monthly/,月次PDFリンク2件検出 best=http://www.halows.com/files/pdf/app/app_kiyaku.pdf,2026-04-21,,,/files/pdf/app/app_kiyaku\.pdf,scrape_links,v2
